customer_id,id,installed_at,latitude,longitude,name,notes,serial_number,type
809,327,2025-08-01,,,"Åtekasse - 60.386274, 5.293488","1m ut fra vegg, mot plen.",,Åtekasse
809,328,2025-08-01,,,"Åtekasse - 60.386216, 5.293253",Langs mur mot vei,,Åtekasse
813,329,2025-08-01,,,"Åtekasse - 60.371015, 5.302048","Bakside, mot skog,  79C",,Åtekasse
813,330,2025-08-01,,,"Åtekasse - 60.371047, 5.301628",Bakside 79D,,Åtekasse
813,331,2025-08-01,,,"Åtekasse - 60.371100, 5.301153","Kortsiden 79E, under terrasse",,Åtekasse
813,332,2025-08-01,,,"Åtekasse - 60.371158, 5.300291",Kortside 79G.,,Åtekasse
813,333,2025-08-01,,,"Åtekasse - 60.371420, 5.301608",Front 79A,,Åtekasse
778,334,2025-08-05,,,"Åtekasse - 60.267102, 5.334734",Bak garasje,,Åtekasse
778,335,2025-08-05,,,"Åtekasse - 60.266938, 5.334274",Venstre for inngang,,Åtekasse
778,336,2025-08-05,,,"Åtekasse - 60.266952, 5.334171","60.266952, 5.334171",,Åtekasse
778,337,2025-08-05,,,"Åtekasse - 60.266969, 5.334019","60.266969, 5.334019",,Åtekasse
778,338,2025-08-05,,,"Åtekasse - 60.266885, 5.334030",Husvegg under tak,,Åtekasse
778,339,2025-08-05,,,"60.266806, 5.334408",Mur kortside,,
777,340,2025-08-05,,,"Åtekasse - 60.267137, 5.333614",Front av lite uthus.,,Åtekasse
777,341,2025-08-05,,,"Åtekasse - 60.267210, 5.333337",Bak søppelspann,,Åtekasse
777,342,2025-08-05,,,"Åtekasse - 60.267131, 5.333258",Bak busk ende av platting,,Åtekasse
777,343,2025-08-05,,,"60.267085, 5.333430","Bak busk, hjørne av platting",,
776,344,2025-08-05,,,"Åtekasse - 60.267663, 5.333404","I busk, ved lufting kloakk",,Åtekasse
776,345,2025-08-05,,,"Åtekasse - 60.267869, 5.333496",Langs gjerde ved innkjørsel,,Åtekasse
779,346,2025-08-05,,,"Åtekasse - 60.267790, 5.333057",I skråning over steinbelagt vekk,,Åtekasse
779,347,2025-08-07,,,"Åtekasse - 60.267862, 5.332975",Bak garasje,,Åtekasse
779,348,2025-08-07,,,"60.267831, 5.332760","Redskapsbod, bak bosspann",,
779,349,2025-08-07,,,"60.268024, 5.332896",Bak kompostbinge,,
828,350,2025-08-07,,,"Åtekasse - 60.308015, 5.040172",Nedside natursteinsmur,,Åtekasse
828,351,2025-08-07,,,"Åtekasse - 60.308217, 5.040573",Ved liten steinknaus,,Åtekasse
828,352,2025-08-07,,,"Åtekasse - 60.308159, 5.041120",Steinmur bak løe,,Åtekasse
828,353,2025-08-07,,,"Åtekasse - 60.308120, 5.041131",Steinmur bak løe,,Åtekasse
828,354,2025-08-07,,,"Åtekasse - 60.307767, 5.041914",I steinmur ved lammefjøs,,Åtekasse
828,355,2025-08-07,,,"Åtekasse - 60.308030, 5.040707",Natursteinsmur lite uthus,,Åtekasse
828,356,2025-08-07,,,"Åtekasse - 60.307988, 5.040237",Natursteinsmur ved garasjen,,Åtekasse
712,357,2025-08-07,,,"Åtekasse - 60.463562, 5.308201",Kortside nr 25,,Åtekasse
712,358,2025-08-07,,,"Åtekasse - 60.463114, 5.308536",Kortside nr 37,,Åtekasse
712,359,2025-08-07,,,"Åtekasse - 60.463160, 5.307726","Kortside, oppå mur.",,Åtekasse
712,360,2025-08-07,,,"Åtekasse - 60.463637, 5.307360","Til høyre, under trapp til platting.",,Åtekasse
712,361,2025-08-07,,,"Åtekasse - 60.463605, 5.306804",Under bod på kortside. Venstre for dør.,,Åtekasse
712,362,2025-08-07,,,"Åtekasse - 60.463345, 5.306968","Kortside,  begynnelse av skråpanel.",,Åtekasse
712,363,2025-08-07,,,"Åtekasse - 60.463209, 5.307060","Kortside, ved varmepumpe.",,Åtekasse
712,364,2025-08-07,,,"Åtekasse - 60.462518, 5.307646",Bak garasje.,,Åtekasse
712,365,2025-08-07,,,"Åtekasse - 60.462365, 5.305966","Front, veg mellom 35 og 37",,Åtekasse
712,366,2025-08-07,,,"Åtekasse - 60.462541, 5.305880",Under trapp til første platting.,,Åtekasse
712,367,2025-08-07,,,"Åtekasse - 60.462991, 5.305729",Mellom strømskap i hekk.,,Åtekasse
712,368,2025-08-07,,,"Åtekasse - 60.463305, 5.305612",Kortsiden. Under terrasse på hjørnet.,,Åtekasse
712,369,2025-08-07,,,"Åtekasse - 60.463542, 5.306176","Under rist, kortside.",,Åtekasse
6,370,2025-08-07,,,"Kamera - 60.339037, 5.268126",Terrasse,,Kamera
6,371,2025-08-07,,,"Tilgangsinformasjon - 60.338936, 5.268545",Ved Dør,,Tilgangsinformasjon
6,372,2025-08-11,,,"Insektslampe - 60.338959, 5.268334","60.338959, 5.268334",,Insektslampe
6,373,2025-08-11,,,"Limfelle - 60.338921, 5.268518","60.338921, 5.268518",,Limfelle
6,442,2025-06-27,,,"Åtekasse - 60.338921, 5.268414","60.338921, 5.268414",,Åtekasse
6,443,2025-06-27,,,"Åtekasse - 60.338757, 5.268227",Luftige,,Åtekasse
832,444,2025-07-01,,,"Åtekasse - 60.519296, 5.294053",Bak garasje,,Åtekasse
832,445,2025-07-02,,,"Gassfelle - 60.519248, 5.294050",Hjørne mellom hus og garasje,,Gassfelle
6,446,2025-07-02,,,"Gassfelle - 60.338772, 5.268395",Under trampoline,,Gassfelle
774,447,2025-07-31,,,"Åtekasse - 60.267669, 5.333976","Under trapp, bak bod.",,Åtekasse
774,448,2025-07-31,,,"Åtekasse - 60.267741, 5.334345",Under vedstabel,,Åtekasse
774,449,2025-07-31,,,"Åtekasse - 60.267776, 5.333743",På husvegg,,Åtekasse
774,450,2025-07-31,,,"Åtekasse - 60.267664, 5.333778",På husvegg,,Åtekasse
774,451,2025-07-31,,,"Åtekasse - 60.267771, 5.333520",I hekk.,,Åtekasse
807,452,2025-08-01,,,"Åtekasse - 60.385740, 5.269943",Bak blomsterpotter ved mur.,,Åtekasse
807,453,2025-08-01,,,"Åtekasse - 60.385760, 5.269993",Bak skille ved steiner,,Åtekasse
807,454,2025-08-01,,,"Åtekasse - 60.385793, 5.270040",Utsiden av gjerde ved port.,,Åtekasse
807,455,2025-08-01,,,"Åtekasse - 60.385812, 5.269977",Under terrasse ved tap,,Åtekasse
817,456,2025-08-01,,,"Åtekasse - 60.388351, 5.290631",Under trapp ved bod,,Åtekasse
817,457,2025-08-01,,,"Åtekasse - 60.388501, 5.290540",Natursteinsmur foran hus,,Åtekasse
817,458,2025-08-01,,,"Åtekasse - 60.388340, 5.290402",Bak bod,,Åtekasse
809,459,2025-08-01,,,"Åtekasse - 60.386241, 5.293493",Langs husvegg,,Åtekasse
809,460,2025-08-01,,,"Åtekasse - 60.386313, 5.293443",Langs husvegg,,Åtekasse
809,461,2025-08-01,,,"Åtekasse - 60.386274, 5.293488","1m ut fra vegg, mot plen.",,Åtekasse
809,462,2025-08-01,,,"Åtekasse - 60.386216, 5.293253",Langs mur mot vei,,Åtekasse
813,463,2025-08-01,,,"Åtekasse - 60.371015, 5.302048","Bakside, mot skog,  79C",,Åtekasse
813,464,2025-08-01,,,"Åtekasse - 60.371047, 5.301628",Bakside 79D,,Åtekasse
813,465,2025-08-01,,,"Åtekasse - 60.371100, 5.301153","Kortsiden 79E, under terrasse",,Åtekasse
813,466,2025-08-01,,,"Åtekasse - 60.371158, 5.300291",Kortside 79G.,,Åtekasse
